paramsetID,beta,gamma,T,sig,centraladj,notes
0,0.999,1,10,0.2,1.2,gamma=2
1,0.999,3,10,0.2,1.2,gamma 3
2,0.999,5,10,0.2,1.2,gamma 5
3,0.999,10,10,0.2,1.2,gamma 10
4,0.999,20,10,0.2,1.2,gamma 20
5,0.999,40,10,0.2,1.2,gamma 40
6,0.999,1,10,0.2,0,cen. Adj=0
7,0.999,3,10,0.2,0,cen. Adj=0
8,0.999,5,10,0.2,0,cen. Adj=0
9,0.999,10,10,0.2,0,cen. Adj=0
10,0.999,20,10,0.2,0,cen. Adj=0
11,0.999,1,10,0.1,1.2,sigma=0.1
12,0.999,3,10,0.1,1.2,sigma=0.1
13,0.999,5,10,0.1,1.2,sigma=0.1
14,0.999,10,10,0.1,1.2,sigma=0.1
15,0.999,20,10,0.1,1.2,sigma=0.1
